,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
212,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Arhar/Tur,12200.0,20.768142993196893,2.002031199892502,1013.28047094205,20.427922023122573,peaty,10.5,27.3,27.3,4800.0,0.3934426229508196
213,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Bajra,240500.0,20.72271264911676,2.105238595348096,1015.0616412632262,20.46858435910318,silty,39.72,105.92,52.96,143400.0,0.5962577962577963
214,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Groundnut,5300.0,21.41918983046531,2.0468433610486314,1015.7700545013312,21.83615846418179,peaty,8.008,8.008,0.0,3900.0,0.7358490566037735
215,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Jowar,100.0,20.42591875316691,2.024060168768888,1013.9711625257248,21.028402594608647,sandy,5.824,14.56,5.824,100.0,1.0
216,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Maize,11400.0,20.82334383628413,1.9898981891155152,1015.4531905716798,20.34081536367801,silty,0.0,0.0,0.0,14000.0,1.2280701754385963
217,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Moong(Green Gram),13100.0,21.095101305054413,2.0672630695585994,1015.8784108546776,21.13885923962543,clay,3.008,3.76,0.0,4300.0,0.3282442748091603
218,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Niger seed,2500.0,21.692897352939067,2.0426605890491136,1014.5709418418378,20.988669835943234,sandy,2.775,0.0,0.0,800.0,0.32
219,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Other Cereals & Millets,2900.0,21.66923694138763,1.990522456533752,1014.7216139381006,22.0272408208632,silt,2.921,2.921,0.0,1000.0,0.3448275862068966
220,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Other Kharif pulses,16300.0,21.3724851978638,1.996309183900572,1014.6122790201796,20.621136157996503,chalky,0.0,0.0,0.0,4100.0,0.2515337423312883
221,Maharashtra,AHMEDNAGAR,2004,Kharif     ,other oilseeds,500.0,20.26742447092432,2.025376226191544,1013.8850210359832,21.541939016319237,silty,928.372,0.0,0.0,200.0,0.4
